name;source;source_url;category;glass;instructions;ingredient;amount_ml;note
French Martini;The 66 PDF;;;Chilled Martini / Coupe;Shake & Fine Strain. Garnish: 1 Raspberry. Optional: Muddle fresh pineapple, pineapple leaf garnish.;Vodka;40;
French Martini;The 66 PDF;;;Chilled Martini / Coupe;;Chambord;20;
French Martini;The 66 PDF;;;Chilled Martini / Coupe;;Pineapple juice;40;
Lynchburg Lemonade;The 66 PDF;;;Highball;Shake & Strain. Garnish: Lemon wedge. Optional: Missouri Mule: Replace vodka with Southern Comfort. Jamaican Mule: Replace vodka with spiced rum.;Jack Daniels;40;
Lynchburg Lemonade;The 66 PDF;;;Highball;;Cointreau;20;
Lynchburg Lemonade;The 66 PDF;;;Highball;;Fresh lemon juice;20;
Lynchburg Lemonade;The 66 PDF;;;Highball;;Sugar syrup;10;
Lynchburg Lemonade;The 66 PDF;;;Highball;;Sprite / Lemonade;;top
Horse's Neck;The 66 PDF;;;Highball;Build. Garnish: Lemon spiral. Optional: Replace bourbon with brandy;Angostura bitters;;2 dashes
Horse's Neck;The 66 PDF;;;Highball;;Bourbon;40;
Horse's Neck;The 66 PDF;;;Highball;;Ginger ale;;fill
Tom Collins;The 66 PDF;;;Highball;Shake & Strain. Garnish: Lemon wedge. Optional: John Collins: Replace gin with bourbon.;Gin;60;
Tom Collins;The 66 PDF;;;Highball;;Fresh lemon juice;30;
Tom Collins;The 66 PDF;;;Highball;;Sugar syrup;15;
Tom Collins;The 66 PDF;;;Highball;;Soda water;;top
Long Island Iced Tea;The 66 PDF;;;Highball;Shake & Strain. Garnish: Lemon wedge. Optional: Long Beach Iced Tea: Replace Coca-Cola with cranberry juice. Beverly Hills Iced Tea: Replace Coca-Cola with Champagne.;Vodka;20;
Long Island Iced Tea;The 66 PDF;;;Highball;;Light rum;20;
Long Island Iced Tea;The 66 PDF;;;Highball;;Gin;20;
Long Island Iced Tea;The 66 PDF;;;Highball;;Tequila;20;
Long Island Iced Tea;The 66 PDF;;;Highball;;Cointreau;20;
Long Island Iced Tea;The 66 PDF;;;Highball;;Fresh lemon juice;20;
Long Island Iced Tea;The 66 PDF;;;Highball;;Sugar syrup;10;
Long Island Iced Tea;The 66 PDF;;;Highball;;Coca-Cola;;top
Dry Martini;The 66 PDF;;;Chilled Martini / Coupe;Stir & Julep Strain. Garnish: Olives or lemon zest. Optional: Dirty Gin: Add 2 barspoons of olive brine. Wet: More dry vermouth. Gibson: Garnish with pearl onions.;Dry vermouth;;1 barspoon
Dry Martini;The 66 PDF;;;Chilled Martini / Coupe;;Gin or Vodka;60;
Manhattan (Sweet);The 66 PDF;;;Chilled Martini / Coupe;Stir & Julep Strain. Garnish: 1 Cherry. Optional: Dry: Dry vermouth, replace cherry with lemon zest. Perfect: Both vermouths & both garnishes.;Angostura bitters;;2 dashes
Manhattan (Sweet);The 66 PDF;;;Chilled Martini / Coupe;;Sweet vermouth;20;
Manhattan (Sweet);The 66 PDF;;;Chilled Martini / Coupe;;Bourbon;60;
Rob Roy;The 66 PDF;;;Chilled Martini / Coupe;Stir & Julep Strain. Garnish: 1 Cherry. Optional: None;Angostura bitters;;2 dashes
Rob Roy;The 66 PDF;;;Chilled Martini / Coupe;;Sweet vermouth;20;
Rob Roy;The 66 PDF;;;Chilled Martini / Coupe;;Grant's Scotch Whisky;60;
Batanga;The 66 PDF;;;Highball;Build. Garnish: Salt rim. Optional: Paloma: Replace Coca-Cola with grapefruit soda;Tequila;40;
Batanga;The 66 PDF;;;Highball;;Fresh lime juice;20;
Batanga;The 66 PDF;;;Highball;;Coca-Cola;;fill
Margarita;The 66 PDF;;;Chilled Martini / Coupe;Shake & Fine Strain. Garnish: Salt rim (half, full or none). Optional: Tommy's Margarita: Replace Cointreau and sugar with agave syrup.;Tequila;40;
Margarita;The 66 PDF;;;Chilled Martini / Coupe;;Cointreau;20;
Margarita;The 66 PDF;;;Chilled Martini / Coupe;;Fresh lime juice;30;
Margarita;The 66 PDF;;;Chilled Martini / Coupe;;Sugar syrup;10;
Side Car;The 66 PDF;;;Chilled Martini / Coupe;Shake & Fine Strain. Garnish: Sugar rim (half, full or none). Optional: None;Cognac;40;
Side Car;The 66 PDF;;;Chilled Martini / Coupe;;Cointreau;20;
Side Car;The 66 PDF;;;Chilled Martini / Coupe;;Fresh lemon juice;30;
Side Car;The 66 PDF;;;Chilled Martini / Coupe;;Sugar syrup;10;
Amaretto Sour;The 66 PDF;;;Rocks;Dry Shake, Shake & Strain. Garnish: Lemon wedge & cherry. Optional: Midori Sour: Replace amaretto with Midori;Angostura bitters;;2 dashes
Amaretto Sour;The 66 PDF;;;Rocks;;Egg white;15;
Amaretto Sour;The 66 PDF;;;Rocks;;DeKuyper Amaretto;60;
Amaretto Sour;The 66 PDF;;;Rocks;;Fresh lemon juice;30;
Amaretto Sour;The 66 PDF;;;Rocks;;Sugar syrup;10;
Whiskey Sour;The 66 PDF;;;Sour Glass / Rocks;Dry Shake, Shake & Fine Strain / Strain. Garnish: Orange zest & cherry. Optional: New York Sour: Top with red wine;Angostura bitters;;2 dashes
Whiskey Sour;The 66 PDF;;;Sour Glass / Rocks;;Egg white;15;
Whiskey Sour;The 66 PDF;;;Sour Glass / Rocks;;Bourbon;60;
Whiskey Sour;The 66 PDF;;;Sour Glass / Rocks;;Fresh lemon juice;30;
Whiskey Sour;The 66 PDF;;;Sour Glass / Rocks;;Sugar syrup;15;
Clover Club;The 66 PDF;;;Chilled Martini / Coupe;Dry Shake, Shake & Fine Strain. Garnish: Raspberry. Optional: None;Egg white;15;
Clover Club;The 66 PDF;;;Chilled Martini / Coupe;;Raspberry puree;15;
Clover Club;The 66 PDF;;;Chilled Martini / Coupe;;Gin;60;
Clover Club;The 66 PDF;;;Chilled Martini / Coupe;;Fresh lemon juice;30;
Bramble;The 66 PDF;;;Rocks;Shake, Strain & Float. Garnish: Lemon wedge & 2 blackberries. Optional: None;Gin;40;
Bramble;The 66 PDF;;;Rocks;;Fresh lemon juice;20;
Bramble;The 66 PDF;;;Rocks;;Sugar syrup;10;
Bramble;The 66 PDF;;;Rocks;;Creme de Mure;20;float
Mojito;The 66 PDF;;;Highball;Muddle, Bash, Build & Churn. Garnish: Mint sprig. Optional: Fruit Mojito: Add fruit and fruit liqueur.;Lime wedges;;4 wedges
Mojito;The 66 PDF;;;Highball;;Sugar syrup;20;
Mojito;The 66 PDF;;;Highball;;Mint leaves;;8-12 leaves
Mojito;The 66 PDF;;;Highball;;Light rum;60;
Mojito;The 66 PDF;;;Highball;;Soda;;top
Caipirinha;The 66 PDF;;;Rocks;Muddle, Build & Churn. Garnish: Lime wedge. Optional: Fruit Caipirinha: Add fruit and fruit liqueur.;Lime wedges;;6 wedges
Caipirinha;The 66 PDF;;;Rocks;;Sugar syrup;20;
Caipirinha;The 66 PDF;;;Rocks;;Cachaca;60;
Mint Julep;The 66 PDF;;;Julep Tin;Soak, Muddle, Bash, Build & Churn. Garnish: Mint sprig. Optional: None;Angostura soaked sugar cube;;1 cube
Mint Julep;The 66 PDF;;;Julep Tin;;Barspoon of soda;;1 barspoon
Mint Julep;The 66 PDF;;;Julep Tin;;Mint leaves;;8-12 leaves
Mint Julep;The 66 PDF;;;Julep Tin;;Bourbon;60;
Gin Basil Smash;The 66 PDF;;;Rocks;Shake & Fine Strain. Garnish: Basil leaf. Optional: None;Basil leaves;;8-12 leaves
Gin Basil Smash;The 66 PDF;;;Rocks;;Gin;60;
Gin Basil Smash;The 66 PDF;;;Rocks;;Fresh lemon juice;30;
Gin Basil Smash;The 66 PDF;;;Rocks;;Sugar syrup;15;
Southside;The 66 PDF;;;Chilled Martini / Coupe;Shake & Fine Strain. Garnish: Single mint leaf. Optional: None;Mint leaves;;8-12 leaves
Southside;The 66 PDF;;;Chilled Martini / Coupe;;Gin;60;
Southside;The 66 PDF;;;Chilled Martini / Coupe;;Fresh lime juice;30;
Southside;The 66 PDF;;;Chilled Martini / Coupe;;Sugar syrup;15;
B52;The 66 PDF;;;Shooter;Layer in Order. Garnish: None. Optional: None;Kahlua;20;
B52;The 66 PDF;;;Shooter;;Baileys;20;
B52;The 66 PDF;;;Shooter;;Cointreau;20;
Pornstar Martini;The 66 PDF;;;Chilled Martini / Coupe;Shake & Fine Strain. Garnish: 1/2 Passionfruit. Optional: Upgrade with vanilla vodka and fresh passionfruit.;Vodka;40;
Pornstar Martini;The 66 PDF;;;Chilled Martini / Coupe;;Passionfruit liqueur;20;
Pornstar Martini;The 66 PDF;;;Chilled Martini / Coupe;;Real passionfruit puree;20;
